en	ha
A surfer.##surfboard,person	Mai wasan hawa igiyar ruwa.
What street is shown?##	Wani titi aka nuna?
What is blue and white in the picture?##vase,vase,vase,potted plant,potted plant,potted plant,potted plant	menene abinda yake dauke da launin shudi da fari a hotan?
How many people are here?##person,skis	Mutane nawa ne awajan?
What is grass color?##zebra,zebra,zebra,zebra,bird,zebra,zebra,zebra,zebra,zebra	Menene launin ciyawa?
In a park.##person,person,hot dog,hot dog	A lambu.
On the river bed.##banana,orange,apple,orange,orange	A bakin ruwa.
Two.##bus,bus,car,bus,car,car,car,car,car,car	Biyu.
Daytime.##boat	Da rana.
What is the plate's color?##fork,pizza,pizza,dining table,pizza,sandwich	Mene launin jikin faranti?
Daytime.##car,car,traffic light,car,traffic light,traffic light,car,traffic light,traffic light,car	Da rana.
Tennis.##tennis racket,sports ball,person,person	Tanis.
A car.##truck,car	Mota.
Hydrant.##person,fire hydrant,person,person,person,vase,backpack,backpack	Ma'adanar ruwan gobara.
White.##cat,person,scissors	Fari.
No one.##bear	Bakowa.
What is coming out of the cat's face?##cat,horse,remote,couch	Me yake futowa daga fuskar magen?
What color is the bear's shirt?##teddy bear	Menene launin rigar bear ɗin?
One.##surfboard,surfboard,surfboard,person,surfboard,person,person,surfboard,surfboard,person	Ɗaya.
What time is showing?##clock,bird,bird	Wanne lokaci ya nuna?
What is on the plate?##broccoli,broccoli,broccoli,broccoli,donut,broccoli,broccoli,broccoli,bowl,dining table	Mene akan farantin?
What color is the grass?##bird,person,bird,bird,bird,bird,bird,bird,bird,bird	Menene launin ciyawar?
Three people are in the picture.##person,person,bottle,tv,remote,couch,chair,remote,remote,couch	Mutane uku ne a hoton.
How many plates are there?##person,fork,dining table,potted plant,cup,chair,cup,potted plant,potted plant,chair	Nawa ne adadin farantai a gurin?
What is the bus doing?##bus,person,person,person,person,person,person,handbag,person	Me motar bas din ke yi?
Talking.##person,cake,person,dining table,cell phone,fork,person,orange,orange,orange	Magana.
Beak.##bird	baki.
What is this vegetable?##apple,broccoli,apple,bowl,dining table,broccoli,donut	Menene wannan kayan lambun?
Grey.##bed	Ruwan toka.
What kind of pets are these?##motorcycle,dog,dog,cat	Wasu irin dabbobin gidane waɗannan?
Grass.##bench,boat,umbrella	Ciyawa.
What is the color of cat's eyes?##cat,sports ball,suitcase,remote	Menene launin idon magen?
Where is the cat lying?##person,cat,teddy bear,bed,tie,bed	A ina magen take kwance?
What is on the man's face that helps him to see?##laptop,person,bird,car,bird,car,car,person,bird,bird	Menene a fuskar mutumin dake taimaka mai wurin gani?
What is green on the plate?##bottle,dining table,tv,carrot,carrot,wine glass,tv,carrot,carrot,carrot	Menene kore akan farantin?
Wire.##elephant	Waya.
Daytime.##person,person,umbrella,vase,potted plant,backpack	Da rana.
A decorative faced building.##elephant,person,person,person	Gini me fuska me ado.
One.##fire hydrant,truck	ɗaya.
Behind the board.##teddy bear,bench,tie	A bayan katako
When will the girl continue?##motorcycle,person,person,person,dog,person,car,person,car,car	Yaushe yarinyar zata cigaba?
Trees.##person,frisbee	Bishiyu.
Houses.##bus,bus,car,bus,car,car,car,car,car,car	Gidaje
Field.##truck,bench,bench	Fili.
Daytime.##horse,person,car,person	Da rana.
A bathroom.##toilet,toilet	A bayan gida.
Next to a river.##clock,clock	Kusa da kogi.
What color is the sky?##person,person,skis,boat,skis,skis,skis,boat	Mene launin sararin samaniya?
Where is the man looking?##skateboard,person,person,person,car,person,chair,cell phone,person,person	Ina mutumin yake kallo?
Two.##sheep,sheep	Biyu
Bird.##bird,bird,bird	Tsuntsu.
No one.##boat,boat,bird,person,boat	Ba kowa.
What is the wall made of?##suitcase,suitcase,suitcase,suitcase,bench,suitcase,suitcase,suitcase	Da me akayi bangon?
Grey and brown.##person,motorcycle,bicycle,person,person,cow,bird,bicycle,banana,cat	ruwan toka da ruwan ƙasa.
How is the woman balancing on the surfboard?##person,surfboard	Yaya matar take daidaituwa akan allon hawan igiyar ruwan?
In a vase.##vase,dining table,vase,potted plant,potted plant,vase,person,vase	A cikin tukunya.
A bus driver.##bus,person	Mai tuƙa motar bus.
Green.##person,suitcase,chair,umbrella,suitcase	Kore.
Gray.##person,surfboard	Launin toka.
What is in the sky?##train,person,train,person	Mene a sararin samaniya?
How many gloves does the boy have?##person,person,person,person,person,person,person,person,person,person	Safar hannu guda nawa yaro yake dashi?
On a track.##train,person,person,person,person,person,person,train,person,person	akan tracks.
In his jacket pockets.##person,person,handbag,bench	A cikin aljihunan kwat ɗin shi.
Pueblo g.##horse,person,person,person,horse,bicycle,person,person,person,person	Pueblo g.
Where are the red flowers?##person,person,dog,cat,dog,bench,boat,bench,bench,potted plant	Ina jan furen?
Polo.##person,skateboard,person,car	Polo.
What sport are these children playing?##person,person,person,person,person,sports ball,bottle	Wani wasa yaran nan ke yi?
1##bed,chair,keyboard,tv,cup	1
What type of vehicle is the white car in front of the bus?##person,car,bus,car,car,person,car,car,person,car	Wani irin abun hawa ne farar motar gaban bas ɗin?
Night time.##person,person,person,bicycle,bicycle,train,traffic light,bicycle,traffic light,person	Dare ne.
Black.##person,motorcycle,car,car,suitcase,suitcase,car	Baƙi.
Yellow.##car,person,car,car,handbag,person,person,person,car,person	Rawaya.
Laying down.##cat,chair,book,book,book,book,book,book,book,book	Kwanciya a ƙasa.
No one.##zebra,cow,cow	Bakowa.
What part of the storefront is seen?##person,person,person,person,teddy bear,person,cat	Wani ɓangaren gaban shagon ake gani?
What is in the background?##person,snowboard	Menene a bayan filin?
The cat.##cat,potted plant,potted plant,potted plant,vase,potted plant,tv	Magen.
Where was the photo taken?##sheep,sheep,sheep,sheep,sheep,sheep,sheep,sheep,sheep,sheep	A ina aka ɗauki hoton nan?
What is behind the cat?##cat,car,chair,chair	Mene a bayan magen?
How much hot dogs are pictured?##cake,hot dog,cup,person	Hot dog nawa aka nuna?
A stone wall.##horse,person,dog	Bangon dutse.
Ketchup.##person,cup,cup,person,cup,cup,person,person,bottle,cup	Ketchup.
Tan.##bed,wine glass,dog	Me dan duhu.
Long.##bus,person,bus,traffic light,bus,bicycle,bus,person,person,traffic light	Me tsawo.
Green.##zebra,zebra,zebra,zebra,zebra,zebra,zebra,zebra,zebra,zebra	Kore.
When was the picture taken?##refrigerator,oven,sink,book,oven,sink	Yaushe aka ɗauka hoton?
Where are the elephants?##elephant,elephant,elephant,elephant	A ina giwayen suke?
Pachyderm.##elephant,elephant	Pachyderm.
Umbrella.##person,umbrella,bench	Laima.
When was this photo taken?##person,cup,bench,bowl,bowl,pizza,pizza,bench,person,banana	Da yaushe aka ɗauki wannan hoton?
Where is the people standing?##train,person,person,person,bird	Ina mutanen da suke tsaye?
Metal.##train,person,person,person,traffic light,person	ƙarfe.
One.##person,person,person,person,person,person,person,baseball glove,person,person	Ɗaya.
Parking.##parking meter,parking meter,traffic light,parking meter,car,car,car,person	Tsayawa.
What animal is displayed?##horse,horse,horse,horse,person,person,person,person,person,person	Wacce dabba aka nuna?
A man.##person,umbrella,umbrella,tie,tie,kite,boat	Mutumi.
Two.##person,person,person,bicycle,person,person,motorcycle,motorcycle,tv,motorcycle	Biyu.
Gray.##elephant,elephant,elephant,elephant	Ruwan toka.
Power button.##cat,remote,couch	Madannin kunnawa?
A suit.##person,person,person,person,person,person,bottle,person,tie,person	Kwat da wando.
Vase.##person,person,chair,chair	Kaskon furanni.
Who is in the picture?##person,toilet,backpack	Waye a cikin hoton?
Two.##person,laptop,person,laptop,cell phone,keyboard,laptop,keyboard,bed,keyboard	Biyu.
What is in the soup?##carrot,carrot,carrot,bowl,carrot	Menene a cikin miyar?
Vegetables.##knife,carrot,carrot,bowl,apple,carrot,dining table,knife,carrot,carrot	Kayan lambo
In the air.##person,tennis racket,clock,person,person,sports ball	Yana iska.
Lying down.##dog,bed,couch,couch	Yana kwance?
Airport.##airplane,truck,person,person,truck,truck,car,truck,person,car	Filin jirgin sama.
One.##horse,person,person,person,horse,bicycle,person,person,person,person	Ɗaya.
How many trains are there?##train,person,person,person,traffic light,person	Jiragen ƙasa nawa ne a wurin?
What is dead here?##elephant,elephant,elephant,elephant	Menene matacce a nan?
Where was this picture taken?##airplane,airplane,airplane,airplane,airplane,airplane,boat,airplane,airplane	Da yaushe aka ɗauki wannan hoton?
What is half up in the window?##toilet,sink	Menene yayi rabi sama acikin taga?
White.##bus,bus,person,person,person	Fari.
0##bus,person,person,person,person,person,person,person,person,person	0
What is open in the building?##clock	Me yake a buɗe a jikin ginin?
Touching the bananas.##person,person,banana,chair,banana,banana,banana,banana,banana,chair	Taba ayaba.
What color is the woman's collar?##person,car,dog	Menene launin wuyan rigar matar?
When is the image taken?##person,person,person,chair,chair,bowl,person,chair,chair,dining table	Yaushe aka dauki hoton?
What is under the bench?##bench,cow	Mene a kasan bencin?
When was this taken?##stop sign	A yaushe aka ɗauki wannan?
What part of the black bike holds up the bike?##motorcycle,motorcycle,person,person,person,suitcase,car,truck,motorcycle	Wani ɓangaren baƙin babur ɗin ne ya riƙe babur ɗin sama?
ans_en##	ans_ha
Red.##horse,person	Ja.
Who is wearing glasses?##tennis racket,sports ball,person,person	Waye yake sanye da tabarau?
A man.##person,traffic light,traffic light,motorcycle,person,person,truck,person,car,person	Mutumi.
Cutting.##person,person,person,cell phone,oven,knife	Yanke yanke.
The men.##person,person,person,person,person,person,person,car,person,person	Mutanen.
Where is the boat floating in?##boat,person,person,bird,kite	Ina kwale-kwale yake iyo?
What are the people watching?##person,person,person,person,person,person,person,person,person,person	Me mutanen suke kallo?
What color is the grass?##fire hydrant	Menene launin ciyawa?
2##cat,tv,cat,cat,cat	2
A window.##clock	Taga.
How is the street?##car,car,car,person,car,car,car,person,car,car	Ya titin?
Where are white lines?##motorcycle,person,motorcycle,bicycle,truck,car,car,truck,truck,motorcycle	Ina fararen layikan?
1##person,car,fire hydrant	1
Hotdogs.##hot dog,cup,hot dog,dining table	Hot dogs.
Where is the retangle pizza?##person,pizza,pizza,oven,bottle,bottle,bottle,apple,bottle,bottle	Ina ractangular fiza din yake?
What is hanging on the wall?##tv,potted plant,potted plant,vase,vase,potted plant,vase,person,backpack,chair	Menene a rataye a jikin bango?
She is hungry.##person,donut,person	Tana jin yunwa.
Chairs.##person,tennis racket	Kujeru.
Cheese.##pizza,dining table,person	Cukwi
What does the sign on the wall say?##person,person,person,tennis racket,person,person,person,person,person,person	Me alamar dake jikin bango ta ce?
What is next to the house?##person,truck,truck	Mene kusa da gidan?
How many dogs are there?##tv,person,dog,person,dog,book,book,book,book,book	Karnuka nawa ne a wurin?
What is the color of the water?##umbrella,umbrella,boat,person,boat	Menene launin ruwan?
Cloudy.##clock,clock,boat	me hadari.
Where is the plane from?##airplane	Daga ina jirgin saman yake?
On top of the building.##person,person,person,person,person,person,person,person,person,handbag	A saman ginin.
1##clock,clock	Ɗaya.
One.##umbrella,person,person,person,person,umbrella,person	Ɗaya.
Fries.##dining table,person,cup,cup,cup,bowl,spoon,sandwich,bowl,wine glass	Fries.
Who is visible in this picture?##bus,bicycle,car,person,car,car,bicycle,bicycle	Wa ake gani a cikin hoton?
Sunglasses.##person,airplane	Gilashin rana.
What is red?##bed	Menene ja?
Who owns the plane?##airplane	Waye mallakin jirgin saman?
At the camera.##sheep,sheep,sheep,sheep,sheep,sheep,sheep,sheep,sheep,sheep	Kamara.
Where is the bread?##sandwich	Ina burodin?
What color is the table?##keyboard,person,cell phone,keyboard,person,book,tv,person,person,chair	Menene launin teburin?
Black.##person,sheep,sheep,dog	Baƙi.
Teeth.##toothbrush,person	Haƙora.
Man is snowboarding.##person,skis	Mutum yana hawa dusar ƙanƙara.
What is the yellow food on the table?##person,person,person,bottle,cup,backpack,person,chair,dining table,hot dog	Wanne abinci ne mai launin rawaya a kan tebur din?
What color is the person's jacket?##person,skis,kite	Wani launi ne da kwat ɗin mutumin?
Where are the birds?##bird	Ina tsuntsaye?
What color are the walls?##chair,chair,chair,clock,chair,chair,bottle,dining table,chair,chair	Mene launin bangon?
What color are the chips?##wine glass,cup,cup,chair,sandwich,broccoli,broccoli,person,broccoli,pizza	Ya launin soyayyin dankalin suke?
Next to the pillow.##bed,clock,clock	Kusa da matashin kai.
What color is the paper?##cat,chair,dining table	Mene launin jikin takardar?
Where is the photo taken?##person,person,knife,refrigerator,chair,person,cell phone,person,cake,wine glass	A ina aka dauki hoton?
Clock.##clock	Agogo.
One.##umbrella	ɗaya.
Where is the hand?##bed,clock,clock	Ina hannun?
In the City.##skateboard,person	A cikin burni.
What is the guy holding?##person,person	Me mutumin ke riƙe dashi.
What is the woman leaning on the fence doing?##person,person,person,horse,person,person,handbag,bench,bench,person	Me matar da take jingine da shingen take yi?
Blue.##zebra,zebra,zebra,zebra,zebra,zebra,zebra,zebra,zebra,zebra	Shuɗi.
Hat.##person,laptop,person,laptop,bottle,laptop,keyboard,chair,laptop,tie	Hula.
Where are the animals looking?##sheep,sheep,sheep,sheep,sheep,sheep,sheep,sheep,sheep,sheep	Ina dabbobin suke kalla?
One.##person,surfboard,surfboard	Ɗaya.
What is on the couch?##person,person,bowl,couch,remote,dining table,bowl,cup,chair,remote	Menene akan kujerar?
What is next to the street?##car,car,traffic light,car,traffic light,traffic light,car,traffic light,traffic light,car	Menene ke kusa da hanya
Where is the blue cup?##cup,bottle,bottle,toothbrush,book,book,remote,bottle,book,bottle	Ina shuɗin kofin?
What color is the sky?##person,person,person,person,person,skis,person,person,skis,person	Mene launin sararin samaniya?
Sunglasses.##person,person,person,chair,handbag,chair,cell phone,car	Tabarau ɗin tare rana.
Black and white.##person,tie	Baƙi da fari
Where are the animals?##giraffe,giraffe,zebra,zebra,giraffe,zebra,giraffe,zebra,zebra,zebra	Ina dabbobin suke?
What is next to the ramp?##person	Menene a kusa da ramp?
Where are the people?##person,umbrella,umbrella,umbrella,umbrella,umbrella,umbrella,person,person,person	Ina mutanan?
What color is the car next to the green truck?##person,car,truck,car,car,truck,car,person,car,person	Menene launin motar da take kusa da koriyar babbar mota?
Where is the knife?##fork,cup,knife,dining table,bottle,sandwich,cup,sandwich,bottle,bowl	Ina wuƙar?
How many planes?##airplane,truck,person,truck,car,person,truck,person,person,person	Jirage nawa?
On pavement.##truck	A kan titi
The players hands.##person,person,tennis racket,tennis racket,sports ball,person,tennis racket	A hannayen ƴan wasa.
What is this a picture of?##person,person,person,person,cell phone,person,cup,person,tv,dining table	Hoton menene wannan?
A paper bag.##person,donut,tv,hot dog,donut	Jakar takarda.
1##fork,dining table,laptop,dining table,spoon	1
A clock.##clock,car,clock	Agogo.
Green.##person,car,fire hydrant	Kore.
What kind of a sheep is this?##sheep,sheep,cow,sheep,sheep	Wanne irin tumaki ne waɗannnan?
Red.##person,skis,person,person,person,person,person,person,person,person	Ja.
Brown.##person,horse	Ruwan ƙasa.
Hot dog.##person,person,person,person,person,person,person,person,hot dog,person	Hot dog.
In the grass.##person,umbrella,person,person,person,umbrella,person,person,umbrella,person	Akan ciyayi.
Where is this picture taken?##cat,chair,bird,bird,tv,cell phone,mouse,cell phone	A ina aka ɗauki wannan hoton?
On a pillow.##dog,chair,bed,couch,couch	Yana kan matashin.
Who has blonde hair?##person,airplane,backpack	Wanene yakeda jan gashi?
What color is shirt?##person,tennis racket,person,person,person	Menene launin rigar sa?
What Color is the man's shirt?##person,tie,dining table,cup,potted plant,sports ball,person	Mene launin rigar mutumin?
When was this picture taken?##person,person,person,baseball bat,handbag,person	Da yaushe aka ɗauki wannan hoton?
Flowers.##bear	Furrai.
Where are the leaves?##person,kite,person,person,person,kite,person,kite,kite,car	Ina ganyayyakin?
A bird.##bird,bird	Tsuntsu.
Bedtime.##person,person,bed,bed,remote,cell phone	Lokacin bacci.
To get air.##dog,car,chair,car,person	Dan yasha iska.
Where is the water?##bird	Ina ruwan?
When was the photo taken?##parking meter,parking meter,traffic light,parking meter,car,car,car,person	Da yaushe aka ɗauki hoton?
When was the picture taken?##cat	Yaushe aka ɗauki hoton nan?
How many players are there?##person,person,person,baseball bat,person,person,baseball glove,person	`Yan wasa nawa ne a wajan?
What is the horse doing?##horse,person,potted plant,person,truck	Me dokin yakeyi?
What color is the tiger?##airplane,person,person	Menene launin damisar?
What is the man doing?##person,person,person,person,person,person,person,person,tennis racket,tennis racket	Me mutumin yakeyi?
Noone.##cat,broccoli	Babu kowa.
What is black on the bottom of the truck?##truck,person,car,car,truck,car	Menene baƙi a ƙasan babbar motar?
How many signs are shown?##car,car,car,parking meter,car,car,car,parking meter,car	Alama nawa aka nuna?
Brown.##bottle,bottle,wine glass,dining table,dining table,dining table	Ruwan ƙasa-ƙasa.
No one.##bench,car,car,bench,bench,bird,car,bench,bench,bench	Ba kowa.
What color are the flowers?##vase,potted plant,chair,dining table,chair	Wana launi ne furran?
Gate.##airplane,airplane,airplane,truck,airplane,airplane,truck,airplane	Ƙofa.
What direction are three of the sheep looking in?##sheep,sheep,sheep,sheep	Wani ɓangare tumakai ukun suke kallo?
Where are the cups?##cup,cup,dining table,cake,sandwich,spoon,spoon,mouse,fork	Ina moɗayen?
Zero.##person,bench,bottle	Babu.
At sunset.##boat,boat,person,boat,person,traffic light,car,car	Da faɗuwan rana.
On a ski slope.##person,person,skis,person,person,person,person,skis,person	A wurn gangarar ski.
What is the color of the building?##traffic light,car,car,car,car,car,traffic light,car,car,traffic light	Menene launin ginin?
Tie.##person,tie,person	Ɗamarar wuya.
What color is the grass?##person,sports ball	Menene launin ciyawar?
What is on top of the ramp?##person	Menene a saman ramp?
What are the letters on the fin on the airplane?##airplane	Wasu harafi ne a kan filafilan jirgin saman?
What color is the bus?##car,traffic light,bus,person,person,traffic light,traffic light,car,traffic light,car	Menene launin bas ɗin?
What is the white object the cat is laying on?##cat,horse,remote,couch	Menene farin abun da magen take kai?
It's daytime.##giraffe,giraffe,zebra,zebra	Da rana ne.
What is the color of the sky?##person,snowboard,person	Mene launin sararin samaniya ?
Catcher.##person,person,person,person,person,person,person,baseball glove,person,person	Mai kamawa.
Donut.##cup,dining table,cake,spoon,chair,bowl	dunut.
How is the area covered?##person,person,person,person,person,person,person,person,person,person	Taya aka rufe wajan?
When was this photo taken?##sheep,sheep,sheep,sheep,sheep,sheep,sheep,sheep,sheep,sheep	Da yaushe aka ɗauki wannan hoton
What color are the flowers?##bench,bird	Menene launin furran?
What is the bush's color?##bird	Menene launin dajin?
What color is the frisbee?##dog,frisbee	Wani launi ne abun wasan?
What kind of utensil?##broccoli,broccoli,broccoli,broccoli,broccoli,fork,broccoli,broccoli,broccoli,broccoli	Wani irin kayan aiki ne wannan?
Barbecue.##dining table,sandwich,bowl,sandwich,sandwich,apple	/Gasasshe
Where is the cover?##person,person,bed,cell phone,cell phone	Ina zanin gado?
What color is the cow in the foreground?##cow,cow,elephant	Menene launin san da ke gaba?
How many bears in the water?##dog,bear,sports ball,frisbee,bear	Bear nawa ne a cikin ruwan?
None.##sink,toilet	Babu.
When was this picture taken?##car,stop sign,car,car	Yaushe aka ɗauka wannan hoton?
Where are the rocks?##bird	Ina duwatsun?
Under the plate.##spoon,cup,wine glass,orange,dining table,cup,wine glass,cup,pizza,wine glass	Kasan faranti.
What is in the background?##person,skis,skis	Menene a bayan?
What is this?##clock,clock	Mene wannan?
Green.##sheep,sheep,sheep,sheep,sheep,sheep	Koriya.
What type of lettering is on the blue shirt?##person,person,banana,banana,potted plant,vase	Wani irin harrafai ne a jikin shuɗin rigar?
A man.##person,motorcycle,truck	Namiji ne
In the water.##elephant,elephant,elephant,elephant,elephant,person,person,person,elephant,person	A cikin ruwan.
Pizza.##pizza,pizza,cup,bowl,cup,person,bottle,cup,pizza,spoon	Fiza.
Two people.##person,person,frisbee,frisbee	Mutane biyu.
How many cars are there?##surfboard,car,car	Nawane adadin motoci a gurin?
What is on the street?##traffic light,car,car,person,person,car,traffic light,traffic light,person,train	Menene akan titi?
What is the feeder hanging from?##bird,bird	Daga ina abin ciyar da abincin yake rataye?
Where was this picture taken?##person,person,person,person,person,person,person,traffic light,traffic light,kite	A ina aka ɗauka wannan hoton?
What is red on the guy?##person,tie	Menene ja a jikin mutumin?
For time.##clock,person,clock,person,traffic light	Saboda lokaci.
On the napkin.##fork,wine glass,fork,bowl,dining table,cake,bowl,knife,fork	A kan adikon goge baki.
What is this religious establishment where you can pray?##stop sign,car,car,car,person,truck	Wannan wane wajan addini ne da zaka iya addu'a?
What is on the ground?##cow,cow,cow,cow,elephant	Menene a ƙasa?
How is the girl going to eat the sandwich?##person,wine glass,wine glass,fork,dining table,sandwich,fork,sandwich,wine glass,donut	Ta yaya yarinyar zata ci sandwic din?
What colors are the cows?##cow,cow,cow	Mene launin jikin shanu?
How many printers do you see?##chair,tv,keyboard,tv,suitcase	Firinta nawa ake gani?
The man.##person,person,person,cell phone,oven,knife	Mutumin.
What is in the background?##clock,truck,car	Menene a bayan?
They are a diamond pattern.##bed	Sun kasance tsarin lu'u lu'u.
Behind the suitcase.##suitcase,person,suitcase,bed,person,bed	A bayan akwatin?
What are these people playing?##person,person,person,car,car,tennis racket,car,car,car,car	Wasan me waɗannan mutanen sukeyi?
What season was this picture taken?##zebra	A wani yanayi aka ɗauki wannan hoton?
How many blue surfboards are there?##surfboard,surfboard,surfboard,person,surfboard,person,person,surfboard,surfboard,person	Nawa ne adadin allon hawan igiyar ruwa shuɗi a gurin?
What part of the animal is holding the grass?##elephant	Wani ɓangare ne na dabbar yake riƙe da ciyawa.
Green.##person,sports ball	Kore.
Three.##bowl,cup,sink,sink	Uku.
How many colors are in the toothbrush handle?##toothbrush	Launika nawa ne a jikin hannun toothbrush?
Five.##cat,cat,cat,cat,cat,chair,couch,cat	Biyar.
Clouds.##person,person,person,person,person,person,person,banana,banana,banana	hadari.
Where are the electric wires?##traffic light,traffic light,clock,traffic light,traffic light	Ina wayoyin wutar lantarki
How many animals are there?##zebra,cow,bird	Dabbobi nawa ne a nan?
One.##toilet,toilet,sink,toilet	Ɗaya.
Sand.##horse,horse,horse,horse,horse,horse,person,person,person,person	ƙasa.
How many dogs are in the picture?##boat,dog,boat,boat,person,person,boat,boat,boat,boat	Karnika nawa ne a hoton?
Where does the scene take place?##airplane,airplane,airplane,truck,airplane,airplane,truck,airplane	A ina hakan ya faru?
One.##cat,bed	ɗaya.
What is yellow?##person,person,person,person,person,person,person,person,person,skateboard	Menene ruwan ɗorawa?
What is outside the house?##oven,bed	Menene a wajan gidan?
Heart.##cake,tie,dining table,teddy bear	Zuciya.
What color is the floor?##person,oven,bottle,bottle,dog,oven,bottle,microwave,bottle,vase	Mene launin ƙasan daɓan?
Where do the customers enter?##fire hydrant,person,dog,teddy bear	Ina masu ciniki suke shiga?
Black.##bottle,bottle,knife,vase,vase,sink,bottle,knife,potted plant,cup	Baƙi.
Towards monitor.##keyboard,laptop,tv,person,cat,keyboard,person,bottle,tv	Ga monitor.
Where are the giraffes?##giraffe,giraffe,giraffe,giraffe,giraffe,giraffe,giraffe,giraffe,bird	Ina raƙuman dawan?
Evening.##person,hot dog,person,person	Da maraice
The toilet was flushed.##toilet,toilet,sink	Anyi flushing ɗin banɗakin.
What is on the ground?##bus,person,truck,person,car,stop sign,person	Mene a ƙasa?
Who is wearing red?##person,person,cell phone,person,person,person,person,chair	Wake sanye da jar riga?
What color are the trees?##elephant,elephant,elephant	Wani launi ne bishiyoyin?
Bluish grey.##bird,boat	Ruwan toka mai shuɗi.
Green.##bus,person,person,person,person,person,person,person,person,person	Kore.
White clouds in sky.##clock,clock,boat,boat,boat,person,boat,boat,cell phone,car	farin gizagizai a sararin samaniyan.
Baseball field.##person,baseball bat	Filin wasan basbal.
Black.##dog,bottle,bottle	Baƙi.
Daytime.##cat,bird	Da rana.
One.##elephant,person,umbrella,person,car,person,car,car,umbrella,stop sign	Ɗaya.
Airplanes.##airplane,airplane,airplane,airplane,airplane,airplane,boat,airplane,airplane	Jirgin sama.
How many people are pictured?##train,train,car	Nawa ne adadin mutanen da aka nuna?
Cobblestone.##bus,person,train,bicycle,person,bench,person	Na dutse ne.
What is in the photo?##bus,car,traffic light,traffic light,car,traffic light,traffic light,traffic light,traffic light	Mene a hoton?
What is in the sky?##horse,kite,kite	Menene a sama?
Tomatoes.##person,bowl,oven,knife,oven,knife,bowl,knife,bottle,oven	Tumatir.
What is the dominant color scheme in the photograph?##bed,bottle,bottle,bottle,chair,bottle	Wani launi ne mafirinjaye a hoton?
How many vans are there?##fire hydrant,truck	Motoci Van guda nawa ne a wurin?
One.##person,person,person,person,person,car,train,traffic light,traffic light,traffic light	Ɗaya.
Light blue.##person,person,pizza,dining table,bottle,wine glass,cup	Shuɗi mai haske.
Red.##dining table,hot dog,bowl,dining table,bowl,bowl	Ja.
Where is the knife?##fork,person,pizza,chair,dining table,person,knife,person,cup,chair	Ina wuƙar?
What colors are the blanket?##cat,tv,cat,cat,cat	Wasu launika a jikin bargon?
Skateboard.##person,bicycle,person,skateboard,backpack,sports ball,backpack	Sikebod.
On the tower.##clock,clock	A kan hasumiyar.
How many rackets the woman is holding?##person,tennis racket	Nawane adadin raket ɗin da matar take riƙe dashi?
Who is taking the picture?##oven,bottle,microwave,dining table,sink,sink,book,vase	Wa yake ɗaukan hoton?
Beside the road.##sheep,sheep,sheep,sheep,sheep,sheep,sheep,sheep,sheep,sheep	Kusa da titi.
What is on the skater's head?##person,person,skateboard,person,person,person	Menene a kan mai sulun allo mai taya?
How many red small toy things on bed?##bed,potted plant,potted plant,bed	Jan abun wasa guda nawa ne akan gadon?
When is this taking place?##bowl,cup,sink,sink	Yaushe wannan yake faruwa?
What is in the window?##teddy bear,teddy bear,teddy bear,teddy bear,teddy bear,teddy bear,teddy bear,teddy bear,teddy bear,teddy bear	Menene a cikin tagar?
Chopped tomatoes.##person,bowl,oven,knife,oven,knife,bowl,knife,bottle,oven	Yankakkun tumatir.
Daytime.##bear	Da rana.
Where is the tree?##bench,dog,potted plant,potted plant,fire hydrant,car,cat,person	Ina bishiyar take?
Eating.##person,person,person,person,person,person,person,person,person,person	Cin abinci.
White.##person,sheep,sheep,dog	Fari.
Where is the picture taken?##dining table,hot dog,bowl,dining table,bowl,bowl	A ina aka ɗauki hoton nan?
Where is the dog?##dog,frisbee	Ina karen?
Where is the door?##cup,dining table,cow,cat	Ina ƙofar?
How many statues are shown?##person,airplane,person,person	Nawane adadin gumakan da aka nuna?
Where are the red lights?##traffic light,car,traffic light,car,car,traffic light,car,car,car,car	Ina jajayen fitilun?
One.##toilet,sink,sink,hair drier	Ɗaya.
What is the color of the suitcase?##chair,suitcase,suitcase,bed,wine glass,backpack,tie,suitcase,suitcase,handbag	Menene launin akwatin?
In the air.##skateboard,skateboard,person,person,person,person,person,person,person,person	A cikin iska.
Wood and metal.##person,teddy bear,teddy bear,tie,teddy bear,teddy bear,bench,potted plant,vase	Da katako da karfe.
How many people are in the photo?##airplane,car,airplane,airplane,car,airplane,person	Mutane nawane a hoto?
Forks.##fork,wine glass,fork,bowl,dining table,cake,bowl,knife,fork	Cokula masu yatsu.
What animals are pictured?##elephant,elephant,elephant,elephant	Wasu dabbobi ne a hoton?
Diced.##bowl,carrot,spoon,oven,carrot,carrot,carrot,carrot,spoon,carrot	Gunduwa-Gunduwa.
White.##traffic light,traffic light,car,car,car,fire hydrant,traffic light,traffic light,stop sign,person	Fari.
How many people are there?##person,chair,person,chair,laptop,chair,dining table,chair,bottle,chair	Nawane adadin mutane a gurin?
Back of cars.##traffic light,car,traffic light,car,car,traffic light,car,car,car,car	Bayan motoci.
What color are the patterns on the photographed toilets?##toilet,vase,toilet,toilet,vase,toilet,toilet,vase,refrigerator	Wani launi ne da zanen jikin matsugunnen da aka wa hoto?
Brown.##person,hot dog,dining table,person	Ruwan ƙasa.
Marc.##train,train,car,train	Marc.
What color is the dog's nose?##dog,car	Mene launin hancin kare?
